City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Norman Wells,CA,2020-04-15 14:31:22,65.28,-126.83,26.6,73,75,13.87
265,Tuatapere,NZ,2020-04-15 14:31:22,-46.13,167.68,51.01,90,86,10.0
266,Sungairaya,ID,2020-04-15 14:31:22,0.7,108.9,79.66,88,96,4.97
267,Kutum,SD,2020-04-15 14:31:23,14.2,24.67,88.03,7,0,13.53
268,Roebourne,AU,2020-04-15 14:31:23,-20.78,117.13,84.31,68,26,9.48
269,Ariquemes,BR,2020-04-15 14:31:23,-9.91,-63.04,79.5,89,69,3.83
270,Halol,IN,2020-04-15 14:31:24,22.5,73.47,98.6,29,29,4.7
271,Salalah,OM,2020-04-15 14:31:24,17.02,54.09,84.2,70,20,9.17
272,Pauini,BR,2020-04-15 14:30:40,-7.71,-66.98,82.96,66,100,2.86
273,Sijunjung,ID,2020-04-15 14:31:24,-0.69,100.95,75.29,80,100,0.34
274,Tateyama,JP,2020-04-15 14:31:24,34.98,139.87,59.0,47,100,4.7
275,Safaga,EG,2020-04-15 14:31:25,26.73,33.94,86.0,20,6,5.82
276,Luderitz,NA,2020-04-15 14:31:25,-26.65,15.16,69.8,56,0,21.92
277,Kalmunai,LK,2020-04-15 14:31:25,7.42,81.82,83.35,73,50,5.53
278,Bairiki,KI,2020-04-15 14:31:25,1.33,172.98,82.4,88,75,3.36
279,Sioux Lookout,CA,2020-04-15 14:31:26,50.1,-91.92,17.6,52,5,5.82
280,Griffith,US,2020-04-15 14:29:44,41.53,-87.42,30.99,86,90,5.82
281,Coahuayana,MX,2020-04-15 14:31:26,18.73,-103.68,71.6,26,5,0.74
282,Kloulklubed,PW,2020-04-15 14:31:27,7.04,134.26,78.8,94,75,12.28
283,Batetskiy,RU,2020-04-15 14:31:27,58.65,30.3,36.23,87,99,2.53
284,Bose,IT,2020-04-15 14:31:27,45.46,8.01,66.99,39,0,4.7
285,Aksha,RU,2020-04-15 14:31:28,50.28,113.29,43.0,40,100,7.27
286,Mount Gambier,AU,2020-04-15 14:31:28,-37.83,140.77,59.0,87,90,4.7
287,Antofagasta,CL,2020-04-15 14:31:28,-23.65,-70.4,66.2,72,3,3.36
288,White Oak,US,2020-04-15 14:31:29,39.21,-84.6,46.0,45,1,10.29
289,Provideniya,RU,2020-04-15 14:31:29,64.38,-173.3,21.42,95,62,3.8
290,Morant Bay,JM,2020-04-15 14:31:29,17.88,-76.41,86.0,58,20,2.24
291,Xining,CN,2020-04-15 14:31:29,36.62,101.77,54.7,16,73,9.51
292,Arcata,US,2020-04-15 14:26:36,40.87,-124.08,48.0,86,1,4.76
293,Saint-Leu,RE,2020-04-15 14:31:30,-21.15,55.28,78.8,74,0,27.51
294,Mersing,MY,2020-04-15 14:31:30,2.43,103.84,84.2,79,42,5.82
295,Zhanaozen,KZ,2020-04-15 14:31:30,43.3,52.8,61.39,28,0,14.07
296,Usinsk,RU,2020-04-15 14:31:31,65.99,57.53,34.14,95,99,5.28
297,Harbour Breton,CA,2020-04-15 14:31:31,47.48,-55.8,38.35,74,87,4.88
298,Birjand,IR,2020-04-15 14:27:34,32.87,59.22,64.4,27,75,6.93
299,Sao Jose Do Belmonte,BR,2020-04-15 14:30:12,-7.86,-38.76,82.72,58,87,5.68
300,Sol-Iletsk,RU,2020-04-15 14:31:32,51.16,54.99,54.55,40,53,16.55
301,Balkhash,KZ,2020-04-15 14:31:32,46.84,74.98,50.07,41,33,4.94
302,Thanh Hoa,VN,2020-04-15 14:31:32,19.8,105.77,71.71,88,76,2.57
